Topic,num_languages,num_views,links_from,links_to,ext_links,num_edits,num_editors,characters,words,sections,redirects_count
Albert Heijn,15,624757,340,286,28,419,271,6866,1136,13,6
Silver–cadmium battery,2,6491,84,87,0,22,12,2481,386,3,2
Rádio Expres,2,21624,102,147,13,42,31,980,156,3,1
Prime Minister of Poland,23,577860,596,1106,22,499,303,23383,3501,17,11
Mont-de-Marsan Agglomération,2,340,35,20,11,2,2,481,69,3,0
Prime Minister of Poland,23,577860,596,1106,22,499,303,23383,3501,17,11
Mont-de-Marsan Agglomération,2,340,35,20,11,2,2,481,69,3,0
Douglas McPhail,2,55838,32,20,14,45,28,175,31,4,0
Communications Act 2003,0,339355,223,282,67,189,127,3685,574,9,1
John Georgiadis,2,15167,48,28,36,108,28,5045,847,8,0
Anderson Luís de Abreu Oliveira,51,142359,2,111,0,1,1,19060,3244,25,0
Zulia,57,272286,242,792,34,471,252,37182,5942,39,10
2008 Yemen floods,7,3024,1,59,0,3,3,13554,2017,6,0
Justin Stubbs,0,6202,18,16,5,13,9,724,118,2,0
Huck (magazine),0,56371,36,101,18,175,51,2204,345,5,2
Huck (magazine),0,56371,36,101,18,175,51,2204,345,5,2
"Albion, Illinois",37,72846,230,242,26,295,153,5749,976,9,4
Villages of Vlorë County,0,10174,139,7,3,26,12,130,18,2,1
1972 Denver Broncos season,1,33054,274,126,6,86,55,577,99,11,4
Spencer Tracy,76,7289216,590,1468,82,2347,991,48317,8195,26,2
Ayinta Ali,0,2148,25,10,23,25,6,3520,616,10,0
Haute-Loire,87,188753,217,837,35,239,156,6648,1092,12,3
Douglas Carter Beane,1,92019,95,156,33,127,68,2149,363,9,0
Pennsylvania German language,63,1253186,12,245,0,6,3,23705,3664,20,0
Byzantine civilisation in the 12th century,1,34361,276,220,12,58,39,5218,841,5,4
Ciry-Salsogne,42,14230,835,809,10,63,33,89,14,4,0
Miles Aircraft,6,147600,273,295,26,287,110,9141,1462,14,7
Furulund,13,15453,40,36,8,27,23,153,23,2,0
Hongtong County,15,16700,218,29,18,55,44,3507,532,12,4
Sam Giancana,17,2935121,385,275,74,1183,576,13781,2236,17,3
Washington State Route 524,2,21668,126,83,53,103,45,7198,1204,9,7
Amy Parks,0,33053,35,23,14,232,102,2728,450,7,0
Howard Johnson (jazz musician),10,106186,178,185,33,222,113,2810,484,8,0
Fleet admiral (science fiction),0,26758,36,6,11,78,51,3110,535,6,2
Tiquinamide,2,3434,25,11,19,16,14,50,8,2,0
Howard Johnson (jazz musician),10,106186,178,185,33,222,113,2810,484,8,0
Fleet admiral (science fiction),0,26758,36,6,11,78,51,3110,535,6,2
Tiquinamide,2,3434,25,11,19,16,14,50,8,2,0
"Altamonte Springs, Florida",37,534423,442,423,32,477,294,5998,958,23,10
Funky Divas,6,258350,149,73,48,289,167,7429,1260,14,0
Thoroughfare Gap,7,76465,143,72,20,128,70,4045,687,9,0
Marquette-en-Ostrevant,32,11921,688,662,15,48,28,78,12,4,0
Chicago Reader,8,204546,93,2267,82,361,164,20727,3345,12,3
Italian Social Republic,59,2455635,2026,3068,29,1838,825,26740,4284,20,23
Saratov,136,932548,312,1614,52,713,420,10418,1636,19,7
Italian Social Republic,59,2455635,2026,3068,29,1838,825,26740,4284,20,23
Saratov,136,932548,312,1614,52,713,420,10418,1636,19,7
Honey walnut shrimp,0,8749,117,67,3,5,3,302,48,2,0
Charles de la Cerda,17,42019,38,35,14,66,51,1288,223,3,4
Children of Divorce (1927 movie),9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Prosecutor of the International Criminal Court,2,122439,73,142,5,43,31,1671,271,4,2
"Vaughn, New Mexico",25,87643,87,55,13,97,66,3712,643,9,1
Constanța,90,1425276,455,1646,79,1847,766,18094,2960,36,23
Pulsar,79,2752408,676,1221,186,1420,884,20010,3208,21,16
Sybba,1,9691,113,93,1,30,12,110,21,3,1
Wenkchemna Peak,4,11313,238,11,14,25,18,782,136,6,0
Fomikhinsky,6,1084,89,74,4,13,3,358,49,3,0
Mixed (United Kingdom ethnicity category),2,430695,46,280,25,818,293,3468,567,6,7
Jos De Beukelaere,3,6118,10,6,4,15,9,140,27,3,1
Neoauthoritarianism (China),5,89144,290,199,32,368,55,17774,2606,11,16
Neoauthoritarianism (China),5,89144,290,199,32,368,55,17774,2606,11,16
"Forsyth, Montana",36,94461,169,180,29,167,97,5550,952,14,4
United States Post Office (Canal Street Station),2,13590,209,85,9,41,26,1036,174,4,2
"Stockbridge, Massachusetts",27,359918,262,581,56,468,232,12773,2060,11,7
Deathcheaters,1,32232,70,63,4,45,23,1491,249,9,0
Acriopsis liliifolia,4,7110,30,4,20,17,10,66,13,2,0
Thoet Thai,1,6145,21,6,6,18,17,487,73,7,0
Bob Gleeson,0,4152,6,8,4,13,10,142,26,3,0
2011–12 UEFA Europa League knockout phase,12,92916,552,342,111,792,138,3743,674,22,3
1923 Cork Senior Football Championship,0,1638,148,139,2,4,4,427,71,4,0
Czarny,0,19397,63,43,0,11,8,194,27,1,0
Liga 1 U-19,1,18413,137,39,9,133,48,1116,192,8,4
Music of Mass Destruction,6,47958,87,68,4,94,59,265,48,8,0
"Charlotte, Iowa",32,23628,108,69,22,140,81,3378,602,10,2
Battle of Guoloph,2,46199,280,223,15,84,41,1937,312,5,1
Squashsite,0,20267,17,27,18,71,17,1212,189,5,2
Northlands Shopping Centre,0,7535,74,45,18,27,7,1862,293,5,0
Ian Moran (cricketer),2,11129,62,25,19,19,15,3483,605,4,0
"Clear Lake, Illinois",21,15435,130,95,10,81,46,3417,589,8,1
Chantal Da Silva,0,248,54,113,39,25,12,2149,362,4,1
Werner Bardenhewer,4,26224,56,98,21,82,30,4330,695,7,0
Elizabeth Baxter,0,3000,18,9,9,21,9,2484,423,3,0
Yuriy Pimenov,12,19505,170,103,9,48,30,791,136,2,3
1985 Hampton Pirates football team,0,105,345,189,13,1,1,617,97,3,0
Vienna Ball of Sciences,0,4479,44,4,11,33,17,5417,852,10,1
Turcica imperialis,0,3818,31,2,3,13,10,983,152,4,0
Licypriya Kangujam,24,199592,120,46,53,396,156,8196,1323,17,4
Lohbarbek,31,5934,144,119,6,25,20,89,13,2,0
"Adamów, Grodzisk Mazowiecki County",8,7210,52,44,5,12,9,171,24,2,1
Andrew Goudie (geographer),0,30900,65,83,46,151,49,1924,307,6,2
Chimney Hill (Oklahoma),2,4905,8,7,3,14,9,320,56,2,1
Curt Wardle,1,12356,15,18,7,43,34,512,88,3,0
You Make My Dreams,4,752117,124,146,32,374,242,1411,261,10,4
You Make My Dreams,4,752117,124,146,32,374,242,1411,261,10,4
Melissa Cristina Márquez,2,9641,28,7,16,39,16,1548,240,6,0
Viscount Rochford,1,33032,21,21,11,26,17,1034,180,3,2
Moresnet,55,61596,1,51,0,1,1,10390,1643,16,0
National Democrats (Sweden),9,69776,98,112,24,394,191,1105,173,9,2
Mayfair,43,2053350,617,1962,73,1004,400,25808,4275,23,4
Bitz & Bob,5,63061,29,31,7,132,74,2425,418,7,3
